#4 voltage traces with current injection at #9nA intervals starting at #9
first column is time in ms

200 5
 55.5     -56.2    -70.9    -83.2    -95     
 56       -59.2    -73.8    -86.4    -98.1   
 56.5     -59.3    -74.1    -86.5    -98.3   
 57       -59.4    -74.2    -86.7    -98.5   
 57.5     -59.3    -74.2    -86.6    -98.3   
 58       -57.4    -72.6    -84.4    -96.2   
 58.5     -53.1    -69.1    -79      -91.7   
 59       -48.5    -65.5    -73.5    -87     
 59.5     -45.1    -62.8    -70      -83.8   
 60       -43      -61.3    -67.8    -82     
 60.5     -42.3    -60.7    -66.6    -81.2   
 61       -43.3    -60.4    -66.2    -80.6   
 61.5     -45.5    -60.9    -66.4    -80.4   
 62       -47.5    -61.9    -67.3    -80.6   
 62.5     -49      -63      -68.5    -80.7   
 63       -49.9    -63.7    -69.4    -81.1   
 63.5     -50.7    -64.2    -70.1    -81.4   
 64       -51.3    -64.6    -70.5    -81.5   
 64.5     -51.8    -65      -70.7    -81.7   
 65       -52.2    -65.1    -70.9    -81.8   
 65.5     -52.6    -65.2    -71.1    -82     
 66       -52.9    -65.6    -71.5    -82.3   
 66.5     -53.3    -65.8    -71.8    -82.4   
 67       -53.6    -66.1    -72.1    -82.6   
 67.5     -54.1    -66.3    -72.5    -82.9   
 68       -54.4    -66.6    -72.9    -83.1   
 68.5     -54.6    -66.9    -73.1    -83.4   
 69       -54.8    -67.1    -73.4    -83.5   
 69.5     -55.1    -67.3    -73.7    -83.8   
 70       -55.6    -67.5    -73.9    -83.9   
 70.5     -56.3    -67.7    -74      -84     
 71       -56.7    -68.1    -74.2    -84.2   
 71.5     -57      -68.3    -74.2    -84.4   
 72       -57.2    -68.4    -74.4    -84.6   
 72.5     -57.3    -68.5    -74.5    -84.8   
 73       -57.4    -68.6    -74.6    -84.8   
 73.5     -57.4    -68.8    -74.8    -85     
 74       -57.6    -69      -75      -85.2   
 74.5     -57.9    -69.1    -75.1    -85.3   
 75       -58      -69.1    -75.3    -85.4   
 75.5     -58.3    -69.1    -75.5    -85.6   
 76       -58.7    -69.3    -75.5    -85.6   
 76.5     -59.1    -69.3    -75.6    -85.8   
 77       -59.3    -69.5    -75.7    -85.9   
 77.5     -59.6    -69.6    -75.9    -86     
 78       -59.9    -69.7    -76      -86.3   
 78.5     -60      -69.8    -76.1    -86.4   
 79       -60.2    -69.9    -76.3    -86.5   
 79.5     -60.2    -70      -76.4    -86.5   
 80       -60.3    -70.2    -76.6    -86.7   
 80.5     -60.4    -70.2    -76.7    -86.8   
 81       -60.4    -70.3    -76.9    -86.8   
 81.5     -60.6    -70.3    -77.1    -86.8   
 82       -60.8    -70.3    -77.2    -86.9   
 82.5     -61.1    -70.3    -77.3    -87     
 83       -61.2    -70.4    -77.4    -87     
 83.5     -61.4    -70.6    -77.6    -87     
 84       -61.5    -70.7    -77.7    -87     
 84.5     -61.7    -70.8    -77.8    -87.2   
 85       -61.7    -70.8    -77.9    -87.2   
 85.5     -61.9    -70.8    -77.8    -87.2   
 86       -61.8    -70.8    -77.9    -87.2   
 86.5     -61.7    -70.9    -77.8    -87.3   
 87       -61.6    -71      -77.8    -87.4   
 87.5     -61.5    -71      -77.8    -87.5   
 88       -61.3    -71.1    -77.9    -87.5   
 88.5     -61.3    -71.1    -77.8    -87.6   
 89       -61.3    -71.1    -77.9    -87.8   
 89.5     -61.2    -71      -77.9    -87.7   
 90       -61.3    -71      -78      -87.9   
 90.5     -61.3    -71      -78.1    -87.9   
 91       -61.3    -70.8    -78.2    -88     
 91.5     -61.4    -70.9    -78.3    -88.1   
