#5 voltage traces with current injection at #9nA intervals starting at #9
first column is time in ms

200 11
 0.05     -46.7    -50.9    -46.3    -48.5    -47.1    -50.7    -46.6    -48.7    -48.2    -54     
 0.55     -45.4    -52      -48.8    -45.5    -46.8    -46.8    -48      -48.8    -48.4    -46.9   
 1.05     -45.6    -51.9    -48.8    -45.5    -46.8    -46.7    -47.9    -48.8    -48.3    -47.1   
 1.55     -45.5    -51.9    -48.8    -45.5    -47      -46.8    -48      -48.7    -48.3    -47     
 2.05     -45.6    -51.8    -48.7    -45.5    -47.1    -46.8    -48      -48.7    -48.3    -47.1   
 2.55     -45.6    -51.8    -48.6    -45.4    -47.2    -46.7    -48      -48.8    -48.2    -47.1   
 3.05     -45.6    -51.8    -48.7    -45.5    -47.2    -46.7    -48      -48.7    -48.1    -47.3   
 3.55     -45.7    -51.6    -48.6    -45.5    -47.2    -46.7    -48      -48.7    -48.1    -47.2   
 4.05     -45.7    -51.5    -48.5    -45.6    -47.2    -46.6    -47.9    -48.6    -48.2    -47.2   
 4.55     -45.9    -51.4    -48.5    -45.6    -47.2    -46.7    -47.9    -48.5    -48.1    -47.2   
 5.05     -45.9    -51.3    -48.4    -45.8    -47.3    -46.6    -47.9    -48.5    -48.2    -47.3   
 5.55     -46      -51.2    -48.4    -45.8    -47.3    -46.7    -47.9    -48.4    -48.2    -47.3   
 6.05     -46      -51.2    -48.4    -45.9    -47.3    -46.7    -47.8    -48.4    -48.2    -47.3   
 6.55     -46.1    -51.2    -48.3    -45.9    -47.3    -46.7    -47.8    -48.4    -48.1    -47.3   
 7.05     -46.2    -51.1    -48.3    -45.9    -47.3    -46.7    -47.8    -48.3    -48.2    -47.3   
 7.55     -46.1    -51      -48.2    -46      -47.4    -46.8    -47.8    -48.3    -48.2    -47.2   
 8.05     -46.2    -51      -48.2    -46      -47.4    -46.8    -47.9    -48.3    -48.1    -47.3   
 8.55     -46.2    -50.9    -48.2    -46      -47.5    -46.8    -47.8    -48.2    -48.2    -47.3   
 9.05     -46.2    -50.8    -48.2    -46.1    -47.5    -47      -47.8    -48.1    -48.2    -47.2   
 9.55     -46.2    -50.7    -48.2    -46.1    -47.5    -47      -47.8    -48.1    -48.2    -47.2   
 10.1     -46.2    -50.8    -48.2    -46      -47.5    -47      -47.8    -48.1    -48.2    -47.2   
 10.6     -46.3    -50.7    -48.2    -46      -47.5    -47.1    -47.9    -48      -48.3    -47.1   
 11.1     -46.2    -50.7    -48.2    -46.1    -47.5    -47.4    -47.9    -47.9    -48.3    -47.1   
 11.6     -46.2    -50.6    -48.2    -46      -47.6    -47.5    -48      -47.9    -48.3    -47     
 12.1     -46.2    -50.5    -48.2    -46.1    -47.5    -47.7    -48      -47.9    -48.3    -46.9   
 12.6     -46.2    -50.6    -48.1    -46      -47.4    -47.9    -48      -47.9    -48.3    -46.9   
 13.1     -46.1    -50.5    -48.1    -45.9    -47.5    -47.9    -48.1    -47.8    -48.2    -46.9   
 13.6     -46      -50.5    -48.2    -45.9    -47.5    -48      -48.2    -47.8    -48.2    -46.9   
 14.1     -46      -50.4    -48.2    -45.8    -47.4    -48      -48.3    -47.6    -48.2    -46.8   
 14.6     -46      -50.5    -48.2    -45.7    -47.6    -48.1    -48.3    -47.6    -48      -46.7   
 15.1     -46      -50.4    -48.1    -45.6    -47.6    -48.1    -48.4    -47.6    -48.1    -46.8   
 15.6     -45.9    -50.5    -48.4    -46      -48.2    -48.8    -49.4    -48.6    -49.3    -48.2   
 16.1     -46      -50.9    -48.8    -47      -49.5    -50.2    -51.3    -50.7    -51.8    -51.3   
 16.6     -45.9    -51.2    -49.3    -47.8    -50.7    -51.5    -53      -52.6    -54      -54     
 17.1     -45.9    -51.6    -49.7    -48.6    -51.7    -52.7    -54.4    -54.2    -55.9    -56.2   
 17.6     -45.9    -51.8    -50      -49.3    -52.7    -53.7    -55.7    -55.7    -57.7    -58.3   
 18.1     -45.9    -52      -50.4    -50      -53.6    -54.7    -57.1    -57.2    -59.2    -60.2   
 18.6     -45.9    -52.3    -50.6    -50.6    -54.5    -55.6    -58.2    -58.5    -60.9    -62.1   
 19.1     -46      -52.5    -51      -51.2    -55.2    -56.5    -59.3    -59.7    -62.2    -63.8   
 19.6     -45.9    -52.7    -51.2    -51.7    -56      -57.3    -60.4    -60.9    -63.6    -65.5   
 20.1     -45.9    -53      -51.5    -52.2    -56.8    -58      -61.4    -61.9    -64.9    -66.9   
 20.6     -45.9    -53.1    -51.7    -52.6    -57.4    -58.9    -62.3    -63      -66.1    -68.4   
 21.1     -45.9    -53.4    -51.9    -53      -58      -59.5    -63.2    -64      -67.2    -69.9   
 21.6     -45.9    -53.5    -52.1    -53.5    -58.7    -60.2    -64      -64.9    -68.4    -71.2   
 22.1     -45.9    -53.7    -52.4    -53.8    -59.2    -60.9    -64.8    -65.8    -69.6    -72.4   
 22.6     -45.9    -53.7    -52.6    -54.2    -59.8    -61.5    -65.6    -66.6    -70.6    -73.7   
 23.1     -46      -53.9    -52.7    -54.6    -60.2    -62.1    -66.3    -67.4    -71.5    -74.8   
 23.6     -45.9    -54      -53      -55.1    -60.7    -62.8    -67      -68.1    -72.5    -75.8   
 24.1     -46      -54.3    -53.1    -55.5    -61.1    -63.3    -67.7    -68.8    -73.4    -77     
 24.6     -46      -54.4    -53.2    -56      -61.6    -63.9    -68.4    -69.5    -74.4    -78     
 25.1     -46      -54.5    -53.4    -56.6    -62      -64.4    -68.9    -70.3    -75.2    -78.8   
 25.6     -46      -54.8    -53.6    -57      -62.4    -64.9    -69.6    -70.9    -76.1    -79.8   
 26.1     -45.9    -54.9    -53.8    -57.4    -62.8    -65.4    -70.2    -71.5    -76.9    -80.7   
 26.6     -46      -55      -54      -57.7    -63.1    -65.8    -70.7    -72.1    -77.7    -81.5   
 27.1     -45.9    -55.2    -54.2    -58      -63.6    -66.3    -71.3    -72.6    -78.4    -82.3   
 27.6     -45.9    -55.3    -54.3    -58.3    -64      -66.7    -71.9    -73.1    -79.1    -83.1   
 28.1     -45.8    -55.4    -54.6    -58.6    -64.4    -67.1    -72.4    -73.6    -79.7    -83.9   
 28.6     -45.6    -55.5    -54.8    -58.8    -64.8    -67.6    -72.8    -74.1    -80.3    -84.6   
 29.1     -45.7    -55.7    -54.9    -59.2    -65.1    -68      -73.4    -74.6    -81      -85.3   
 29.6     -45.8    -55.8    -55.2    -59.7    -65.4    -68.4    -73.9    -75      -81.6    -85.9   
 30.1     -45.7    -55.9    -55.4    -60.1    -65.8    -68.7    -74.3    -75.4    -82.1    -86.6   
 30.6     -45.8    -56      -55.6    -60.6    -66.1    -69      -74.8    -76      -82.7    -87.2   
 31.1     -45.9    -56.2    -55.7    -61.1    -66.4    -69.4    -75.3    -76.3    -83.2    -87.9   
 31.6     -45.9    -56.3    -55.9    -61.4    -66.7    -69.7    -75.7    -76.7    -83.6    -88.6   
 32       -46      -56.4    -56      -61.4    -66.9    -70      -76.1    -77.2    -84.1    -89.1   
 32.5     -46      -56.5    -56.1    -61.6    -67.2    -70.2    -76.5    -77.6    -84.6    -89.7   
 33       -46      -56.7    -56.2    -61.7    -67.5    -70.4    -76.9    -78      -85      -90.3   
 33.5     -46      -56.8    -56.3    -62      -67.8    -70.7    -77.3    -78.5    -85.5    -90.8   
 34       -46.1    -56.9    -56.4    -62      -68      -70.9    -77.5    -78.8    -86      -91.3   
 34.5     -46.1    -57      -56.6    -62.2    -68.3    -71.2    -77.9    -79.2    -86.3    -91.9   
 35       -46.1    -57.1    -56.6    -62.4    -68.6    -71.4    -78.3    -79.5    -86.8    -92.4   
 35.5     -46.1    -57.2    -56.7    -62.6    -68.8    -71.6    -78.6    -79.8    -87.2    -92.9   
 36       -46.2    -57.2    -56.8    -62.7    -69      -71.8    -78.9    -80.2    -87.6    -93.4   
 36.5     -46.3    -57.2    -56.9    -63      -69.1    -72.1    -79.2    -80.5    -88      -94     
 37       -46.3    -57.3    -56.9    -63      -69.4    -72.2    -79.4    -80.9    -88.3    -94.5   
 37.5     -46.4    -57.3    -57      -63      -69.6    -72.5    -79.7    -81.2    -88.7    -94.9   
 38       -46.5    -57.3    -57      -63.1    -69.9    -72.7    -79.9    -81.6    -89.1    -95.4   
 38.5     -46.6    -57.4    -57.1    -63.1    -70.1    -72.9    -80.2    -81.8    -89.5    -95.8   
 39       -46.6    -57.5    -57.1    -63.3    -70.1    -73.1    -80.4    -82.1    -89.8    -96.2   
 39.5     -46.7    -57.5    -57.1    -63.5    -70.2    -73.3    -80.7    -82.4    -90.3    -96.6   
 40       -46.7    -57.5    -57.2    -63.6    -70.4    -73.4    -80.9    -82.6    -90.6    -97.1   
 40.5     -46.8    -57.5    -57.2    -63.7    -70.6    -73.7    -81.1    -82.9    -91      -97.5   
 41       -46.7    -57.5    -57.3    -63.8    -70.7    -74      -81.3    -83.1    -91.3    -97.8   
 41.5     -46.9    -57.6    -57.4    -64      -70.8    -74.1    -81.5    -83.3    -91.7    -98.1   
 42       -47      -57.6    -57.4    -64.2    -71      -74.3    -81.7    -83.5    -92      -98.5   
 42.5     -46.9    -57.5    -57.5    -64.4    -71      -74.5    -81.9    -83.7    -92.3    -98.9   
 43       -47      -57.6    -57.6    -64.6    -71.2    -74.7    -82.2    -83.8    -92.6    -99.1   
 43.5     -47      -57.6    -57.8    -64.8    -71.3    -74.8    -82.4    -84      -93      -99.4   
 44       -47      -57.7    -57.9    -64.9    -71.4    -75.1    -82.6    -84.3    -93.2    -99.7   
 44.5     -47      -57.6    -57.8    -65.1    -71.5    -75.2    -82.9    -84.4    -93.5    -100    
 45       -47      -57.7    -57.9    -65.1    -71.5    -75.3    -83      -84.6    -93.8    -100    
 45.5     -47      -57.7    -58      -65.2    -71.8    -75.4    -83.3    -84.7    -94.1    -101    
 46       -47      -57.8    -58.1    -65.2    -71.9    -75.7    -83.5    -84.9    -94.3    -101    
 46.5     -47.1    -57.9    -58.2    -65.2    -72      -75.8    -83.7    -85      -94.5    -101    
 47       -47      -57.9    -58.2    -65.1    -72.1    -75.9    -83.9    -85.2    -94.7    -101    
 47.5     -47      -57.9    -58.3    -65.1    -72.3    -76.1    -84.1    -85.4    -95      -102    
 48       -47      -58      -58.3    -65.1    -72.4    -76.2    -84.3    -85.5    -95.1    -102    
 48.5     -47      -58      -58.4    -65.3    -72.5    -76.3    -84.4    -85.8    -95.3    -102    
 49       -47      -58.1    -58.6    -65.3    -72.5    -76.3    -84.6    -86      -95.6    -103    
 49.5     -47.1    -58.1    -58.6    -65.3    -72.7    -76.4    -84.8    -86.1    -95.8    -103    
 50       -47      -58.2    -58.8    -65.4    -72.8    -76.5    -85.1    -86.3    -95.9    -103    
 50.5     -47      -58.2    -58.9    -65.4    -73      -76.6    -85.1    -86.5    -96.1    -103    
 51       -47      -58.2    -58.9    -65.5    -73      -76.7    -85.3    -86.7    -96.2    -104    
 51.5     -47      -58.3    -59.1    -65.5    -73.1    -76.7    -85.5    -86.9    -96.4    -104    
 52       -47.1    -58.2    -59.1    -65.6    -73.2    -76.9    -85.6    -87      -96.7    -104    
 52.5     -47      -58.2    -59.2    -65.6    -73.4    -76.9    -85.8    -87.2    -96.8    -104    
 53       -47.1    -58.3    -59.2    -65.6    -73.5    -77      -85.9    -87.3    -97      -105    
