Graph addvar/addexpr lines
1 201
x v(.5)
0	-65
0.025	-64.9993
0.05	-64.9985
0.075	-64.9978
0.1	-64.9971
0.125	-64.9964
0.15	-64.9957
0.175	-64.995
0.2	-64.9943
0.225	-64.9937
0.25	-64.993
0.275	-64.9923
0.3	-64.9917
0.325	-64.991
0.35	-64.9904
0.375	-64.9898
0.4	-64.9891
0.425	-64.9885
0.45	-64.9879
0.475	-64.9873
0.5	-64.9867
0.525	-60.0693
0.55	-55.2295
0.575	-50.461
0.6	-45.7546
0.625	-46.0042
0.65	-46.1983
0.675	-46.3264
0.7	-46.3794
0.725	-46.3494
0.75	-46.2291
0.775	-46.012
0.8	-45.6915
0.825	-45.2602
0.85	-44.7098
0.875	-44.03
0.9	-43.2083
0.925	-42.2289
0.95	-41.0718
0.975	-39.7121
1	-38.1181
1.025	-36.2507
1.05	-34.0614
1.075	-31.4911
1.1	-28.4697
1.125	-24.9167
1.15	-20.7462
1.175	-15.8789
1.2	-10.2651
1.225	-3.92334
1.25	3.01118
1.275	10.2483
1.3	17.3545
1.325	23.8415
1.35	29.3063
1.375	33.5431
1.4	36.5647
1.425	38.5393
1.45	39.6976
1.475	40.2614
1.5	40.4089
1.525	40.2687
1.55	39.9269
1.575	39.4391
1.6	38.8404
1.625	38.1531
1.65	37.3919
1.675	36.5669
1.7	35.6852
1.725	34.7526
1.75	33.774
1.775	32.7533
1.8	31.6945
1.825	30.601
1.85	29.4761
1.875	28.3231
1.9	27.145
1.925	25.9445
1.95	24.7244
1.975	23.4874
2	22.2357
2.025	20.9719
2.05	19.6979
2.075	18.4158
2.1	17.1276
2.125	15.8348
2.15	14.5393
2.175	13.2423
2.2	11.9453
2.225	10.6495
2.25	9.35592
2.275	8.06566
2.3	6.77958
2.325	5.49846
2.35	4.22297
2.375	2.95374
2.4	1.6913
2.425	0.436047
2.45	-0.811642
2.475	-2.05145
2.5	-3.28313
2.525	-4.50655
2.55	-5.72158
2.575	-6.92815
2.6	-8.12619
2.625	-9.31577
2.65	-10.497
2.675	-11.67
2.7	-12.8348
2.725	-13.9917
2.75	-15.1409
2.775	-16.2827
2.8	-17.4175
2.825	-18.5456
2.85	-19.6676
2.875	-20.7839
2.9	-21.8951
2.925	-23.0018
2.95	-24.1047
2.975	-25.2048
3	-26.3031
3.025	-27.4006
3.05	-28.4987
3.075	-29.5986
3.1	-30.7018
3.125	-31.8101
3.15	-32.9253
3.175	-34.0494
